,week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,cumulative_weeks_in_top_10,id,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
788,2022-06-19,TV (English),7,Keep Sweet: Pray and Obey,Keep Sweet: Pray and Obey: Limited Series,27640000,2,ts353844,SHOW,"In interviews and rare home video footage, ex-FLDS members share the truth about their isolated community — and the events that pushed them to leave.",2022.0,TV-MA,49.0,"['crime', 'documentation']",['US'],1.0,tt20560404,7.4,7174.0
789,2022-06-19,TV (English),8,God's Favorite Idiot,God's Favorite Idiot: Season 1,22480000,1,ts269395,SHOW,"Clark Thompson, a midlevel tech-support employee, finds love with co-worker Amily Luck at exactly the same time he becomes the unwitting messenger of God. Also, there's rollerskating, a lake of fire and an impending apocalypse.",2022.0,TV-MA,27.0,"['comedy', 'fantasy']",['US'],1.0,tt13861620,5.7,4196.0
790,2022-06-19,TV (English),9,The Lincoln Lawyer,The Lincoln Lawyer: Season 1,17550000,6,ts271450,SHOW,"Sidelined after an accident, hotshot Los Angeles lawyer Mickey Haller restarts his career — and his trademark Lincoln — when he takes on a murder case.",2022.0,TV-MA,50.0,"['crime', 'drama', 'thriller']",['US'],1.0,tt13833978,7.7,30295.0
791,2022-06-19,TV (English),10,Peaky Blinders,Peaky Blinders: Season 1,16420000,1,ts20110,SHOW,"A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world.",2013.0,TV-MA,58.0,"['crime', 'drama', 'european']",['GB'],6.0,tt2442560,8.8,511668.0
792,2022-06-19,TV (Non-English),1,Intimacy,Intimacy: Season 1,30210000,2,ts292696,SHOW,"A compromising sexual video featuring a promising politician, it depicts the lives of four women forced to walk the line between public and private life.",2022.0,TV-MA,48.0,"['crime', 'drama', 'thriller']",['ES'],1.0,tt14463542,6.8,1674.0
793,2022-06-19,TV (Non-English),2,Our Blues,Our Blues: Season 1,15000000,8,ts312984,SHOW,Romance is sweet and bitter — and life riddled with ups and downs — in multiple stories about people who live and work on bustling Jeju island.,2022.0,TV-MA,66.0,['drama'],['KR'],1.0,tt19115260,8.5,1150.0
794,2022-06-19,TV (Non-English),3,"Malverde, el santo patrón","Malverde, el santo patrón: Season 1",12470000,2,,,,,,,,,,,,
795,2022-06-19,TV (Non-English),4,"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",11480000,27,,,,,,,,,,,,
796,2022-06-19,TV (Non-English),5,Maldivas,Maldivas: Season 1,11300000,1,ts276067,SHOW,"To investigate a mystery, a young woman moves into a posh condo community, where she comes into contact with its quirky - and suspicious - residents.",2022.0,TV-MA,36.0,"['comedy', 'drama']",['BR'],1.0,tt13561292,5.6,961.0
797,2022-06-19,TV (Non-English),6,Café con aroma de mujer,Café con aroma de mujer: Season 1,9760000,18,,,,,,,,,,,,
798,2022-06-19,TV (Non-English),7,Wrong Side of the Tracks,Wrong Side of the Tracks: Season 1,9680000,5,ts281225,SHOW,"When his teenage granddaughter falls victim to the drug dealers overtaking his neighborhood, a fed-up war veteran takes matters into his own hands.",2021.0,TV-MA,71.0,"['action', 'crime', 'drama', 'thriller']",['ES'],2.0,tt13980362,6.7,1671.0
799,2022-06-19,TV (Non-English),8,The War Next-door,The War Next-door: Season 2,7710000,1,ts296179,SHOW,"When two antagonistic families end up living next door in a posh neighborhood, the matriarchs ensue a full-scale war of unintended consequences.",2021.0,TV-MA,33.0,['comedy'],['MX'],2.0,tt14821886,5.7,444.0
800,2022-06-19,TV (Non-English),9,As the Crow Flies,As the Crow Flies: Season 1,7640000,2,ts352579,SHOW,"A young fan maneuvers her way into a seasoned anchor's newsroom but soon confronts the dark side of ambition, envy and the desire to be seen.",2022.0,TV-MA,46.0,"['drama', 'comedy']",['TR'],1.0,tt13323566,6.3,3039.0
801,2022-06-19,TV (Non-English),10,Squid Game,Squid Game: Season 1,7480000,20,ts220305,SHOW,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games—with high stakes. But, a tempting prize awaits the victor.",2021.0,TV-MA,55.0,"['action', 'thriller', 'drama']",['KR'],2.0,tt10919420,8.0,426967.0
802,2022-06-12,Films (English),1,Hustle,,84580000,1,tm1126268,MOVIE,A basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.,2022.0,R,117.0,"['drama', 'sport', 'comedy']",['US'],,tt8009428,7.4,89770.0
803,2022-06-12,Films (English),2,Interceptor,,40700000,2,tm1044289,MOVIE,A U.S. Army Captain uses her years of tactical training to save humanity from sixteen nuclear missiles launched at the U.S. as a violent attack threatens her remote missile interceptor station.,2022.0,PG-13,98.0,"['thriller', 'action', 'drama']",['AU'],,tt14174940,4.5,20007.0
804,2022-06-12,Films (English),3,Chickenhare and the Hamster of Darkness,,9820000,1,tm1094217,MOVIE,"Follows a young hero born half chicken and half hare. Eager to fit in and feel loved in spite of his differences, he is obsessed by adventuring in spite of his clumsiness.",2022.0,,91.0,"['animation', 'comedy', 'family', 'romance', 'fantasy']","['BE', 'FR']",,tt12532368,6.3,1303.0
805,2022-06-12,Films (English),4,The Amazing Spider-Man,,8440000,2,tm44730,MOVIE,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",2012.0,PG-13,136.0,"['action', 'fantasy', 'scifi']",['US'],,tt0948470,6.9,646119.0
806,2022-06-12,Films (English),5,Senior Year,,7220000,5,tm1165462,MOVIE,A thirty-seven-year-old woman wakes up from a twenty-year coma and returns to the high school where she was once a popular cheerleader to finish her senior year and become prom queen. The main plot is the empowerment of LGBTQ rights and progress through the years.,2022.0,R,112.0,"['comedy', 'drama']",['US'],,tt5315212,5.5,34419.0
807,2022-06-12,Films (English),6,A Perfect Pairing,,7130000,4,tm1196705,MOVIE,It follows a hard-driving LA wine-company executive who travels to an Australian sheep station to land a major client and there she ends up working as a ranch hand and sparking with a rugged local.,2022.0,,101.0,"['comedy', 'romance']","['US', 'AU']",,tt15215512,6.1,9742.0
808,2022-06-12,Films (English),7,Mission: Impossible - Ghost Protocol,,6550000,1,tm166978,MOVIE,"Ethan Hunt and his team are racing against time to track down a dangerous terrorist named Hendricks, who has gained access to Russian nuclear launch codes and is planning a strike on the United States. An attempt to stop him ends in an explosion causing severe destruction to the Kremlin and the IMF to be implicated in the bombing, forcing the President to disavow them. No longer being aided by the government, Ethan and his team chase Hendricks around the globe, although they might still be too late to stop a disaster.",2011.0,PG-13,132.0,"['thriller', 'action']",['US'],,tt1229238,7.4,485301.0
809,2022-06-12,Films (English),8,Rambo: Last Blood,,6530000,1,tm414584,MOVIE,"After fighting his demons for decades, John Rambo now lives in peace on his family ranch in Arizona, but his rest is interrupted when Gabriela, the granddaughter of his housekeeper María, disappears after crossing the border into Mexico to meet her biological father. Rambo, who has become a true father figure for Gabriela over the years, undertakes a desperate and dangerous journey to find her.",2019.0,R,101.0,"['drama', 'action', 'crime', 'thriller', 'western']","['US', 'CN']",,tt1206885,6.1,96740.0
