,week,category,weekly_rank,weekly_hours_viewed,cumulative_weeks_in_top_10,Show_title,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes
1079,2022-05-01,TV (Non-English),7,10460000,2,pedro el escamoso,series,"A colombian macho guy with fellings, a heart-breaker, an unintentional womanizer and a avid dancer.",2001–,N/A,60 min,Drama,Colombia,tt0283770,7.4,347
1080,2022-05-01,TV (Non-English),8,9800000,21,"yo soy betty, la fea",series,"An outcast in a prominent fashion company, a sweet-hearted and unattractive assistant falls hopelessly in love with her boss.",1999–2001,TV-PG,30 min,"Comedy, Drama, Romance",Colombia,tt0233127,8.2,"3,286"
1081,2022-05-01,TV (Non-English),9,9580000,10,twenty five twenty one,SHOW,"The dreams of two young people are crushed by an overwhelming financial crisis in the 1990s. But when they reunite at the ages of 25 and 21, the spirited pair finds friendship and affection in times of adversity as they venture into adulthood together.",2022.0,TV-14,76.0,"['drama', 'romance']",['KR'],tt17513352,8.7,5746.0
1082,2022-05-01,TV (Non-English),10,9090000,1,our blues,SHOW,Romance is sweet and bitter — and life riddled with ups and downs — in multiple stories about people who live and work on bustling Jeju island.,2022.0,TV-MA,66.0,['drama'],['KR'],tt19115260,8.5,1150.0
1084,2022-04-24,Films (English),2,13350000,3,the in between,movie,"After surviving a car accident that took the life of her boyfriend, a teenage girl believes he's attempting to reconnect with her from the after world.",2022,PG-13,115 min,"Drama, Romance, Sci-Fi",United States,tt8851148,5.9,"7,807"
1085,2022-04-24,Films (English),3,9920000,1,white hot: the rise & fall of abercrombie & fitch,MOVIE,All the cool kids were wearing it. This documentary explores A&F's pop culture reign in the late '90s and early 2000s and how it thrived on exclusion.,2022.0,R,88.0,['documentation'],['US'],tt19034522,5.7,4124.0
1087,2022-04-24,Films (English),5,7490000,1,yakuza princess,movie,The heiress to half of the Yakuza crime syndicate forges an uneasy alliance with an amnesiac stranger who believes an ancient sword binds their two fates. She must unleash war against the other half of the syndicate who wants her ...,2021,R,111 min,Thriller,Brazil,tt10715446,4.7,"1,708"
1088,2022-04-24,Films (English),6,7480000,7,the adam project,MOVIE,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future.",2022.0,PG-13,106.0,"['drama', 'action', 'comedy', 'scifi']",['US'],tt2463208,6.7,183489.0
1089,2022-04-24,Films (English),7,6750000,1,playing with fire,SHOW,Three prosperous women -- including a mother and her daughter -- fall for a seductive man in Colombia's Coffee Triangle.,2019.0,TV-14,43.0,['drama'],['MX'],tt9587732,5.9,965.0
1090,2022-04-24,Films (English),8,6620000,2,the vault,MOVIE,"When an engineer (Freddie Highmore) learns of a mysterious, impenetrable fortress hidden under The Bank of Spain, he joins a crew of master thieves who plan to steal the legendary lost treasure locked inside while the whole country is distracted by Spain's World Cup Final. With thousands of soccer fans cheering in the streets, and security forces closing in, the crew have just minutes to pull off the score of a lifetime.",2021.0,R,118.0,"['crime', 'action', 'thriller', 'fantasy']",['ES'],tt9742794,6.4,21511.0
1091,2022-04-24,Films (English),9,5310000,6,shrek,movie,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",2001,PG,90 min,"Animation, Adventure, Comedy",United States,tt0126029,7.9,"673,516"
1092,2022-04-24,Films (English),10,4920000,2,cleaner,MOVIE,"Single father and former cop Tom Cutler has an unusual occupation: he cleans up death scenes. But when he's called in to sterilize a wealthy suburban residence after a brutal shooting, Cutler is shocked to learn he may have unknowingly erased crucial evidence, entangling himself in a dirty criminal cover-up.",2007.0,R,88.0,"['thriller', 'crime']",['US'],tt0896798,6.1,42285.0
1097,2022-04-24,Films (Non-English),5,2220000,1,one piece film z,movie,A former Marine stands in the way of the Straw Hat Pirates.,2012,TV-14,108 min,"Animation, Action, Adventure",Japan,tt2375379,7.8,"7,660"
1098,2022-04-24,Films (Non-English),6,2200000,11,through my window,MOVIE,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.",2022.0,R,116.0,"['drama', 'romance', 'comedy']",['ES'],tt14463484,5.4,9082.0
1103,2022-04-24,TV (English),1,75560000,2,anatomy of a scandal,SHOW,A sexual consent scandal amongst British privileged elite and the women caught up in its wake.,2022.0,TV-MA,46.0,"['drama', 'thriller']","['GB', 'US']",tt12748084,7.0,23981.0
1104,2022-04-24,TV (English),2,46130000,5,bridgerton,SHOW,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",2020.0,TV-MA,62.0,"['drama', 'history', 'romance']",['US'],tt8740790,7.3,129085.0
1105,2022-04-24,TV (English),3,37460000,1,conversations with a killer: the john wayne gacy tapes,SHOW,He dined with the powerful. He preyed on the vulnerable. Beneath a smiling exterior was the horrifying darkness of a sadistic serial killer.,2022.0,TV-MA,61.0,"['documentation', 'crime']",['US'],tt18970124,7.1,6665.0
1106,2022-04-24,TV (English),4,29010000,3,the ultimatum: marry or move on,SHOW,Get hitched or call it quits? Couples put their love to the test — while shacking up with other potential matches — in a provocative reality series.,2022.0,TV-MA,49.0,['reality'],['US'],tt18396952,5.4,1759.0
1107,2022-04-24,TV (English),5,28360000,1,selling sunset,SHOW,The elite real estate brokers at The Oppenheim Group sell the luxe life to affluent buyers in LA. The drama ramps up when a new agent joins the team.,2019.0,TV-MA,36.0,['reality'],['US'],tt9817298,6.4,6217.0
1108,2022-04-24,TV (English),6,17280000,5,bridgerton,SHOW,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",2020.0,TV-MA,62.0,"['drama', 'history', 'romance']",['US'],tt8740790,7.3,129085.0
1109,2022-04-24,TV (English),7,14550000,1,heartstopper,SHOW,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,2022.0,TV-14,28.0,"['romance', 'drama']",['GB'],tt10638036,8.7,45476.0
1110,2022-04-24,TV (English),8,13560000,1,the creature cases,SHOW,"Follows Sam Snow and Kit Casey, two brilliant agents, as they solve mysteries that mix real zoological facts with wild detective action.",2022.0,TV-Y,29.0,"['animation', 'comedy', 'family', 'action']",['US'],tt15527326,8.5,88.0
1111,2022-04-24,TV (English),9,12810000,1,married at first sight,SHOW,"The cart comes way before the horse in the reality series ""Married at First Sight."" Based on a hit Danish format, ""Married..."" features people who agree to participate in an extreme experiment: Each covenants legal marriage with a complete stranger. Specialists -- including a spiritualist, a relationship coach and a sociologist -- use scientific matchmaking methods to determine each couple, who will not have met or had contact with each other until the wedding day. The series then documents the relationships, including honeymoons and other relatable events of married life. After several weeks, each couple must decide whether to remain together or go their individual ways.",2014.0,TV-PG,64.0,"['reality', 'romance', 'european']",['US'],tt3868860,6.1,2021.0
1112,2022-04-24,TV (English),10,11780000,2,our great national parks,SHOW,"Narrated by former President Barack Obama, this stunning docuseries shines the spotlight on some of the planet's most spectacular national parks.",2022.0,TV-PG,52.0,['documentation'],['US'],tt18750552,7.9,1684.0
1113,2022-04-24,TV (Non-English),1,68040000,1,the marked heart,SHOW,This new Colombian telenovela is about a man who has to watch his wife die and have her heart extracted to give to another woman. He’s out for revenge in the world of organ trafficking.,2022.0,TV-MA,44.0,"['thriller', 'drama']",['CO'],tt18974572,6.4,1824.0
1114,2022-04-24,TV (Non-English),2,29490000,3,elite,SHOW,"When three working class kids enroll in the most exclusive school in Spain, the clash between the wealthy and the poor students leads to tragedy.",2018.0,TV-MA,48.0,"['thriller', 'drama', 'crime']",['ES'],tt7134908,7.4,75337.0
1115,2022-04-24,TV (Non-English),3,22060000,1,yakamoz s-245,SHOW,"After disaster strikes the Earth, a marine biologist on a research mission in a submarine must fight to advance the process into a conspiracy.",2022.0,TV-MA,48.0,"['scifi', 'drama', 'action', 'thriller']",['TR'],tt13317454,6.1,5789.0
1116,2022-04-24,TV (Non-English),4,20380000,7,business proposal,SHOW,An ordinary office worker disguises herself and goes on a blind date with her attractive boss in the place of her friend to end this unwanted marriage blind date after her request.,2022.0,TV-14,61.0,"['drama', 'romance', 'comedy']",['KR'],tt14819828,8.1,7806.0
1117,2022-04-24,TV (Non-English),5,18840000,2,heirs to the land,SHOW,Resourceful young Hugo Llor works to make a name for himself in 14th-century Barcelona while keeping a vow he made to the Estanyol family.,2022.0,TV-MA,54.0,"['drama', 'history', 'comedy', 'scifi']",['ES'],tt13308276,7.0,947.0
1118,2022-04-24,TV (Non-English),6,17320000,1,hold tight,SHOW,"When a young man goes missing soon after his friend dies, life in a tight-knit, affluent Warsaw suburb slowly unravels, exposing secrets and lies.",2022.0,TV-MA,47.0,"['crime', 'drama', 'thriller']",['PL'],tt15019128,6.1,2288.0
1119,2022-04-24,TV (Non-English),7,11340000,9,twenty five twenty one,SHOW,"The dreams of two young people are crushed by an overwhelming financial crisis in the 1990s. But when they reunite at the ages of 25 and 21, the spirited pair finds friendship and affection in times of adversity as they venture into adulthood together.",2022.0,TV-14,76.0,"['drama', 'romance']",['KR'],tt17513352,8.7,5746.0
1120,2022-04-24,TV (Non-English),8,10820000,2,happiness,movie,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.",1998,NC-17,134 min,"Comedy, Drama",United States,tt0147612,7.7,"70,660"
1121,2022-04-24,TV (Non-English),9,10490000,20,"yo soy betty, la fea",series,"An outcast in a prominent fashion company, a sweet-hearted and unattractive assistant falls hopelessly in love with her boss.",1999–2001,TV-PG,30 min,"Comedy, Drama, Romance",Colombia,tt0233127,8.2,"3,286"
1122,2022-04-24,TV (Non-English),10,10390000,17,café con aroma de mujer,series,Love story between Gaviota and Sebastian. Gaviota is a poor harvester and Sebastian comes from a rich Colombian family.,1993–,N/A,60 min,"Drama, Romance",Colombia,tt0216459,8.4,621
1123,2022-04-17,Films (English),1,35900000,2,the in between,movie,"After surviving a car accident that took the life of her boyfriend, a teenage girl believes he's attempting to reconnect with her from the after world.",2022,PG-13,115 min,"Drama, Romance, Sci-Fi",United States,tt8851148,5.9,"7,807"
1126,2022-04-17,Films (English),4,9270000,6,the adam project,MOVIE,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future.",2022.0,PG-13,106.0,"['drama', 'action', 'comedy', 'scifi']",['US'],tt2463208,6.7,183489.0
1127,2022-04-17,Films (English),5,8740000,1,metal lords,MOVIE,"For teenage misfits Hunter and Kevin, the path to glory is clear: Devote themselves to metal. Win Battle of the Bands. And be worshipped like gods.",2022.0,R,97.0,"['music', 'comedy', 'drama']",['US'],tt12141112,6.7,24672.0
1129,2022-04-17,Films (English),7,7710000,1,the call,MOVIE,"Jordan Turner is an experienced 911 operator but when she makes an error in judgment and a call ends badly, Jordan is rattled and unsure if she can continue. But when teenager Casey Welson is abducted in the back of a man's car and calls 911, Jordan is the one called upon to use all of her experience, insights and quick thinking to help Casey escape, and not just to save her, but to make sure the man is brought to justice.",2013.0,R,94.0,"['thriller', 'crime', 'drama', 'horror', 'action', 'european']",['US'],tt1911644,6.7,121843.0
1132,2022-04-17,Films (English),9,6770000,1,cleaner,MOVIE,"Single father and former cop Tom Cutler has an unusual occupation: he cleans up death scenes. But when he's called in to sterilize a wealthy suburban residence after a brutal shooting, Cutler is shocked to learn he may have unknowingly erased crucial evidence, entangling himself in a dirty criminal cover-up.",2007.0,R,88.0,"['thriller', 'crime']",['US'],tt0896798,6.1,42285.0
1133,2022-04-17,Films (English),10,5750000,1,a dog's way home,movie,A female dog travels four hundred miles in search of her owner throughout a Colorado wilderness.,2019,PG,96 min,"Adventure, Drama, Family","China, United States",tt7616798,6.7,"18,290"
1143,2022-04-17,Films (Non-English),10,2280000,10,through my window,MOVIE,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.",2022.0,R,116.0,"['drama', 'romance', 'comedy']",['ES'],tt14463484,5.4,9082.0
1144,2022-04-17,TV (English),1,66610000,4,bridgerton,SHOW,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",2020.0,TV-MA,62.0,"['drama', 'history', 'romance']",['US'],tt8740790,7.3,129085.0
1145,2022-04-17,TV (English),2,58470000,2,the ultimatum: marry or move on,SHOW,Get hitched or call it quits? Couples put their love to the test — while shacking up with other potential matches — in a provocative reality series.,2022.0,TV-MA,49.0,['reality'],['US'],tt18396952,5.4,1759.0
1146,2022-04-17,TV (English),3,40280000,1,anatomy of a scandal,SHOW,A sexual consent scandal amongst British privileged elite and the women caught up in its wake.,2022.0,TV-MA,46.0,"['drama', 'thriller']","['GB', 'US']",tt12748084,7.0,23981.0
1147,2022-04-17,TV (English),4,23300000,4,bridgerton,SHOW,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",2020.0,TV-MA,62.0,"['drama', 'history', 'romance']",['US'],tt8740790,7.3,129085.0
1148,2022-04-17,TV (English),5,17090000,1,our great national parks,SHOW,"Narrated by former President Barack Obama, this stunning docuseries shines the spotlight on some of the planet's most spectacular national parks.",2022.0,TV-PG,52.0,['documentation'],['US'],tt18750552,7.9,1684.0
1149,2022-04-17,TV (English),6,13690000,10,inventing anna,SHOW,"A journalist with a lot to prove investigates the case of Anna Delvey, the Instagram-legendary German heiress who stole the hearts of New York’s social scene – and stole their money as well.",2022.0,TV-MA,68.0,['drama'],['US'],tt8740976,6.8,61061.0
1150,2022-04-17,TV (English),7,13100000,2,queen of the south,SHOW,"Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas, she looks to become the country's reigning drug smuggler and to avenge her lover's murder.",2016.0,TV-MA,42.0,"['drama', 'thriller', 'action', 'crime']",['US'],tt1064899,7.9,29495.0
1151,2022-04-17,TV (English),8,12430000,2,better call saul,SHOW,"Six years before Saul Goodman meets Walter White. We meet him when the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and, often, against Jimmy, is “fixer” Mike Ehrmantraut. The series tracks Jimmy’s transformation into Saul Goodman, the man who puts “criminal” in “criminal lawyer"".",2015.0,TV-MA,49.0,"['drama', 'crime']",['US'],tt3032476,8.8,438575.0
1152,2022-04-17,TV (English),9,11410000,2,jimmy savile: a british horror story,SHOW,"Jimmy Savile was one of the United Kingdom’s most beloved TV personalities. Shortly after his death in 2011, an investigation prompted more than 450 horrific allegations of sexual assault and abuse, with victims as young as 5.",2022.0,TV-MA,85.0,"['documentation', 'crime']",['GB'],tt18970454,6.7,6536.0
1153,2022-04-17,TV (English),10,11210000,4,is it cake?,SHOW,"Skilled cake artists create mouthwatering replicas of handbags, sewing machines and more in a mind-bending baking contest inspired by a popular meme.",2022.0,TV-PG,39.0,['reality'],['US'],tt18314214,5.7,2411.0
1154,2022-04-17,TV (Non-English),1,67390000,2,elite,SHOW,"When three working class kids enroll in the most exclusive school in Spain, the clash between the wealthy and the poor students leads to tragedy.",2018.0,TV-MA,48.0,"['thriller', 'drama', 'crime']",['ES'],tt7134908,7.4,75337.0
1155,2022-04-17,TV (Non-English),2,24190000,6,business proposal,SHOW,An ordinary office worker disguises herself and goes on a blind date with her attractive boss in the place of her friend to end this unwanted marriage blind date after her request.,2022.0,TV-14,61.0,"['drama', 'romance', 'comedy']",['KR'],tt14819828,8.1,7806.0
1156,2022-04-17,TV (Non-English),3,14080000,8,twenty five twenty one,SHOW,"The dreams of two young people are crushed by an overwhelming financial crisis in the 1990s. But when they reunite at the ages of 25 and 21, the spirited pair finds friendship and affection in times of adversity as they venture into adulthood together.",2022.0,TV-14,76.0,"['drama', 'romance']",['KR'],tt17513352,8.7,5746.0
1157,2022-04-17,TV (Non-English),4,11810000,1,heirs to the land,SHOW,Resourceful young Hugo Llor works to make a name for himself in 14th-century Barcelona while keeping a vow he made to the Estanyol family.,2022.0,TV-MA,54.0,"['drama', 'history', 'comedy', 'scifi']",['ES'],tt13308276,7.0,947.0
1158,2022-04-17,TV (Non-English),5,11350000,16,café con aroma de mujer,series,Love story between Gaviota and Sebastian. Gaviota is a poor harvester and Sebastian comes from a rich Colombian family.,1993–,N/A,60 min,"Drama, Romance",Colombia,tt0216459,8.4,621
1159,2022-04-17,TV (Non-English),6,11070000,1,smother-in-law,series,"Living with her family since the pandemic struck, the meddling Isadir does her best to disrupt the lives of her bumbling son and rival daughter-in-law.",2022–,TV-MA,N/A,Comedy,Brazil,tt15353358,4.5,143
1160,2022-04-17,TV (Non-English),7,10940000,1,happiness,movie,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.",1998,NC-17,134 min,"Comedy, Drama",United States,tt0147612,7.7,"70,660"
1161,2022-04-17,TV (Non-English),8,10400000,19,"yo soy betty, la fea",series,"An outcast in a prominent fashion company, a sweet-hearted and unattractive assistant falls hopelessly in love with her boss.",1999–2001,TV-PG,30 min,"Comedy, Drama, Romance",Colombia,tt0233127,8.2,"3,286"
1162,2022-04-17,TV (Non-English),9,10110000,2,elite,SHOW,"When three working class kids enroll in the most exclusive school in Spain, the clash between the wealthy and the poor students leads to tragedy.",2018.0,TV-MA,48.0,"['thriller', 'drama', 'crime']",['ES'],tt7134908,7.4,75337.0
1163,2022-04-17,TV (Non-English),10,9410000,8,forecasting love and weather,SHOW,"Inside a national weather service, love proves just as difficult to predict as rain or shine for a diligent forecaster and her free-spirited co-worker.",2022.0,TV-14,66.0,"['drama', 'romance']",['KR'],tt15140592,7.1,1617.0
1164,2022-04-10,Films (English),1,26770000,1,the in between,movie,"After surviving a car accident that took the life of her boyfriend, a teenage girl believes he's attempting to reconnect with her from the after world.",2022,PG-13,115 min,"Drama, Romance, Sci-Fi",United States,tt8851148,5.9,"7,807"
1165,2022-04-10,Films (English),2,10900000,5,the adam project,MOVIE,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future.",2022.0,PG-13,106.0,"['drama', 'action', 'comedy', 'scifi']",['US'],tt2463208,6.7,183489.0
1166,2022-04-10,Films (English),3,9950000,2,the bubble,MOVIE,A group of actors and actresses stuck inside a pandemic bubble at a hotel attempts to complete a film.,2022.0,R,126.0,['comedy'],['US'],tt13610562,4.7,22479.0
1167,2022-04-10,Films (English),4,9770000,2,shrek forever after,movie,Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.,2010,PG,95 min,"Animation, Adventure, Comedy",United States,tt0892791,6.3,"204,913"
1168,2022-04-10,Films (English),5,8710000,2,the blind side,MOVIE,"The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.",2009.0,PG-13,129.0,"['drama', 'sport']",['US'],tt0878804,7.6,327675.0
1169,2022-04-10,Films (English),6,8170000,1,four brothers,movie,"When their adoptive mother is gunned down in a store robbery, four brothers decide to investigate the murder and find the killers themselves, but not all is what it seems.",2005,R,109 min,"Action, Crime, Drama",United States,tt0430105,6.8,"147,493"
1170,2022-04-10,Films (English),7,5790000,1,enough,movie,"After running away fails, a terrified woman empowers herself in order to battle her abusive husband.",2002,PG-13,115 min,"Crime, Drama, Thriller",United States,tt0278435,5.7,"44,129"
1172,2022-04-10,Films (English),9,5340000,5,shrek,movie,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",2001,PG,90 min,"Animation, Adventure, Comedy",United States,tt0126029,7.9,"673,516"
1183,2022-04-10,Films (Non-English),10,3580000,2,ya veremos,movie,"Separated couple Rodrigo and Alejandra are required to see each other occasionally because they have joint custody of their son Santi. When they discover that Santi needs eyesight-saving surgery, Santi makes a pre-operation wishli...",2018,PG-13,85 min,Drama,Mexico,tt7948540,5.8,727
1184,2022-04-10,TV (English),1,115750000,3,bridgerton,SHOW,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",2020.0,TV-MA,62.0,"['drama', 'history', 'romance']",['US'],tt8740790,7.3,129085.0
1185,2022-04-10,TV (English),2,43710000,1,the ultimatum: marry or move on,SHOW,Get hitched or call it quits? Couples put their love to the test — while shacking up with other potential matches — in a provocative reality series.,2022.0,TV-MA,49.0,['reality'],['US'],tt18396952,5.4,1759.0
1186,2022-04-10,TV (English),3,35760000,3,bridgerton,SHOW,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",2020.0,TV-MA,62.0,"['drama', 'history', 'romance']",['US'],tt8740790,7.3,129085.0
1187,2022-04-10,TV (English),4,17700000,1,jimmy savile: a british horror story,SHOW,"Jimmy Savile was one of the United Kingdom’s most beloved TV personalities. Shortly after his death in 2011, an investigation prompted more than 450 horrific allegations of sexual assault and abuse, with victims as young as 5.",2022.0,TV-MA,85.0,"['documentation', 'crime']",['GB'],tt18970454,6.7,6536.0
1188,2022-04-10,TV (English),5,17320000,9,inventing anna,SHOW,"A journalist with a lot to prove investigates the case of Anna Delvey, the Instagram-legendary German heiress who stole the hearts of New York’s social scene – and stole their money as well.",2022.0,TV-MA,68.0,['drama'],['US'],tt8740976,6.8,61061.0
1189,2022-04-10,TV (English),6,15170000,1,better call saul,SHOW,"Six years before Saul Goodman meets Walter White. We meet him when the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and, often, against Jimmy, is “fixer” Mike Ehrmantraut. The series tracks Jimmy’s transformation into Saul Goodman, the man who puts “criminal” in “criminal lawyer"".",2015.0,TV-MA,49.0,"['drama', 'crime']",['US'],tt3032476,8.8,438575.0
1190,2022-04-10,TV (English),7,14760000,3,is it cake?,SHOW,"Skilled cake artists create mouthwatering replicas of handbags, sewing machines and more in a mind-bending baking contest inspired by a popular meme.",2022.0,TV-PG,39.0,['reality'],['US'],tt18314214,5.7,2411.0
1191,2022-04-10,TV (English),8,13770000,1,super pupz,SHOW,"Four pups with superpowers team up to help their new friends and a furry alien comrade in this cuddly, cosmic adventure.",2022.0,TV-Y7,29.0,"['comedy', 'family', 'fantasy', 'scifi']",['CA'],tt18469966,6.6,104.0
1192,2022-04-10,TV (English),9,12970000,5,the last kingdom,SHOW,"A show of heroic deeds and epic battles with a thematic depth that embraces politics, religion, warfare, courage, love, loyalty and our universal search for identity. Combining real historical figures and events with fictional characters, it is the story of how a people combined their strength under one of the most iconic kings of history in order to reclaim their land for themselves and build a place they call home.",2015.0,TV-MA,55.0,"['action', 'drama', 'war', 'history', 'european']",['GB'],tt4179452,8.5,132561.0
1193,2022-04-10,TV (English),10,12630000,1,cocomelon,series,"In the town of Cocomelon, baby JJ and his siblings go on fun every-day adventures with nursery, play, exploration, and learning - situations that any preschooler could relate to. Fun, relatable stories set to toe-tapping songs.",2018–2022,TV-PG,N/A,"Animation, Family",United States,tt12427840,4.7,653
1194,2022-04-10,TV (Non-English),1,51380000,1,elite,SHOW,"When three working class kids enroll in the most exclusive school in Spain, the clash between the wealthy and the poor students leads to tragedy.",2018.0,TV-MA,48.0,"['thriller', 'drama', 'crime']",['ES'],tt7134908,7.4,75337.0
1195,2022-04-10,TV (Non-English),2,41460000,5,business proposal,SHOW,An ordinary office worker disguises herself and goes on a blind date with her attractive boss in the place of her friend to end this unwanted marriage blind date after her request.,2022.0,TV-14,61.0,"['drama', 'romance', 'comedy']",['KR'],tt14819828,8.1,7806.0
1196,2022-04-10,TV (Non-English),3,22530000,7,twenty five twenty one,SHOW,"The dreams of two young people are crushed by an overwhelming financial crisis in the 1990s. But when they reunite at the ages of 25 and 21, the spirited pair finds friendship and affection in times of adversity as they venture into adulthood together.",2022.0,TV-14,76.0,"['drama', 'romance']",['KR'],tt17513352,8.7,5746.0
1197,2022-04-10,TV (Non-English),4,14830000,7,forecasting love and weather,SHOW,"Inside a national weather service, love proves just as difficult to predict as rain or shine for a diligent forecaster and her free-spirited co-worker.",2022.0,TV-14,66.0,"['drama', 'romance']",['KR'],tt15140592,7.1,1617.0
1198,2022-04-10,TV (Non-English),5,13050000,15,café con aroma de mujer,series,Love story between Gaviota and Sebastian. Gaviota is a poor harvester and Sebastian comes from a rich Colombian family.,1993–,N/A,60 min,"Drama, Romance",Colombia,tt0216459,8.4,621
1199,2022-04-10,TV (Non-English),6,10590000,18,"yo soy betty, la fea",series,"An outcast in a prominent fashion company, a sweet-hearted and unattractive assistant falls hopelessly in love with her boss.",1999–2001,TV-PG,30 min,"Comedy, Drama, Romance",Colombia,tt0233127,8.2,"3,286"
1200,2022-04-10,TV (Non-English),7,9040000,5,thirty-nine,SHOW,"Leaning on each other through thick and thin, a trio of best friends stand together as they experience life, love and loss on the brink of turning 40.",2022.0,TV-MA,73.0,"['drama', 'romance']",['KR'],tt15309342,7.9,150.0
1201,2022-04-10,TV (Non-English),8,8130000,11,all of us are dead,SHOW,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.,2022.0,TV-MA,61.0,"['action', 'drama', 'scifi', 'horror', 'thriller', 'fantasy']",['KR'],tt14169960,7.5,45027.0
1202,2022-04-10,TV (Non-English),9,6890000,1,pedro el escamoso,series,"A colombian macho guy with fellings, a heart-breaker, an unintentional womanizer and a avid dancer.",2001–,N/A,60 min,Drama,Colombia,tt0283770,7.4,347
1203,2022-04-10,TV (Non-English),10,6210000,7,juvenile justice,SHOW,A tough judge balances her aversion to minor offenders with firm beliefs on justice and punishment as she tackles complex cases inside a juvenile court.,2022.0,TV-MA,61.0,"['drama', 'crime']",['KR'],tt15553922,8.0,2633.0
1204,2022-04-03,Films (English),1,17720000,4,the adam project,MOVIE,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future.",2022.0,PG-13,106.0,"['drama', 'action', 'comedy', 'scifi']",['US'],tt2463208,6.7,183489.0
1205,2022-04-03,Films (English),2,12450000,1,the bubble,MOVIE,A group of actors and actresses stuck inside a pandemic bubble at a hotel attempts to complete a film.,2022.0,R,126.0,['comedy'],['US'],tt13610562,4.7,22479.0
1206,2022-04-03,Films (English),3,12070000,1,trust no one: the hunt for the crypto king,MOVIE,"When the young founder of a collapsing cryptocurrency exchange dies unexpectedly, irate investors suspect there's more to his death than meets the eye.",2022.0,R,90.0,"['documentation', 'crime']",['GB'],tt15479902,6.3,4444.0
1207,2022-04-03,Films (English),4,9880000,1,the blind side,MOVIE,"The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.",2009.0,PG-13,129.0,"['drama', 'sport']",['US'],tt0878804,7.6,327675.0
1208,2022-04-03,Films (English),5,8730000,3,6 underground,MOVIE,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",2019.0,R,128.0,"['thriller', 'comedy', 'action']",['US'],tt8106534,6.1,172083.0
1209,2022-04-03,Films (English),6,7850000,1,blade runner 2049,MOVIE,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",2017.0,R,164.0,"['scifi', 'action', 'drama', 'thriller']","['CA', 'HU', 'MX', 'ES', 'GB', 'US']",tt1856101,8.0,549712.0
1210,2022-04-03,Films (English),7,7690000,1,shrek forever after,movie,Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.,2010,PG,95 min,"Animation, Adventure, Comedy",United States,tt0892791,6.3,"204,913"
