,week,category,weekly_rank,weekly_hours_viewed,cumulative_weeks_in_top_10,Show_title,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes
2328,2021-09-26,TV (Non-English),2,23360000,4,hometown cha-cha-cha,SHOW,"A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way.",2021.0,TV-14,78.0,"['comedy', 'romance', 'drama']",['KR'],tt14518756,8.4,11060.0
2329,2021-09-26,TV (Non-English),3,21830000,4,money heist,SHOW,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,2017.0,TV-MA,49.0,"['thriller', 'action', 'crime', 'drama', 'european']",['ES'],tt6468322,8.2,461688.0
2330,2021-09-26,TV (Non-English),4,16260000,1,ganglands,SHOW,"Mehdi, a qualified robber, and Liana, an apprentice thief, get involved in a turf war between drug dealers, and have to collaborate in order to save their loved ones.",2021.0,TV-MA,46.0,"['action', 'crime', 'drama', 'thriller']",['FR'],tt13278100,7.0,2553.0
2331,2021-09-26,TV (Non-English),5,14020000,3,the seven deadly sins,SHOW,"The “Seven Deadly Sins”—a group of evil knights who conspired to overthrow the kingdom of Britannia—were said to have been eradicated by the Holy Knights, although some claim that they still live. Ten years later, the Holy Knights have staged a Coup d'état and assassinated the king, becoming the new, tyrannical rulers of the kingdom. Elizabeth, the king's only daughter, sets out on a journey to find the “Seven Deadly Sins,” and to enlist their help in taking back the kingdom.",2014.0,TV-14,25.0,"['scifi', 'action', 'animation', 'comedy', 'fantasy']",['JP'],tt3909224,7.9,31085.0
2332,2021-09-26,TV (Non-English),6,12150000,4,money heist,SHOW,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,2017.0,TV-MA,49.0,"['thriller', 'action', 'crime', 'drama', 'european']",['ES'],tt6468322,8.2,461688.0
2333,2021-09-26,TV (Non-English),7,11620000,1,jaguar,SHOW,"In 1960s Spain, a Holocaust survivor joins a group of agents seeking justice against the hundreds of Nazis who fled to the nation to hide after WWII.",2021.0,TV-MA,45.0,"['drama', 'war', 'action', 'history']",['ES'],tt11698590,5.7,1766.0
2334,2021-09-26,TV (Non-English),8,10890000,1,alice in borderland,SHOW,A group of bored delinquents are transported to a parallel dimension as part of a survival game.,2020.0,TV-MA,47.0,"['action', 'drama', 'scifi', 'thriller', 'fantasy']",['JP'],tt10795658,7.6,49446.0
2335,2021-09-26,TV (Non-English),9,8680000,4,money heist,SHOW,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,2017.0,TV-MA,49.0,"['thriller', 'action', 'crime', 'drama', 'european']",['ES'],tt6468322,8.2,461688.0
2337,2021-09-19,Films (English),1,37400000,2,kate,MOVIE,A ruthless criminal operative has less than 24 hours to exact revenge on her enemies and in the process forms an unexpected bond with the daughter of one of her past victims.,2021.0,R,106.0,"['action', 'drama', 'thriller', 'crime']","['US', 'JP', 'TH']",tt7737528,6.2,59480.0
2339,2021-09-19,Films (English),3,16160000,1,man on fire,movie,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",2004,R,146 min,"Action, Crime, Drama","Switzerland, United Kingdom, United States, Mexico",tt0328107,7.7,"362,726"
2340,2021-09-19,Films (English),4,14680000,1,the marksman,movie,A rancher on the Arizona border becomes the unlikely defender of a young Mexican boy desperately fleeing the cartel assassins who've pursued him into the U.S.,2021,PG-13,108 min,"Action, Crime, Drama",United States,tt6902332,5.6,"34,058"
2342,2021-09-19,Films (English),6,12310000,1,the equalizer 2,movie,"Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?",2018,R,121 min,"Action, Crime, Thriller",United States,tt3766354,6.7,"159,539"
2344,2021-09-19,Films (English),8,9060000,1,safe house,movie,"A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge.",2012,R,115 min,"Action, Thriller","South Africa, United States, Japan",tt1599348,6.7,"223,568"
2346,2021-09-19,Films (English),10,6950000,1,first kill,SHOW,"Falling in love is tricky for teens Juliette and Calliope: One's a vampire, the other's a vampire hunter — and both are ready to make their first kill.",2022.0,TV-MA,49.0,"['thriller', 'drama', 'fantasy', 'horror']",['US'],tt13315156,6.4,23605.0
2347,2021-09-19,Films (Non-English),1,14830000,1,the father who moves mountains,MOVIE,"Mircea, former Intelligence officer, finds out that his son from has gone missing in the mountains. He travels there to find him. After days of searches, Mircea put his own rescue team together, leading to conflict with the local squad.",2021.0,PG-13,108.0,"['thriller', 'drama']","['SE', 'RO']",tt8886670,5.5,3472.0
2351,2021-09-19,Films (Non-English),5,2610000,1,o candidato honesto 2,movie,"Brazilian politician João Ernesto (Leandro Hassum) surrenders to justice and is arrested for corruption, before attempting to overturn with sincerity and real proposals.",2018,N/A,104 min,Comedy,Brazil,tt8837044,5.0,360
2353,2021-09-19,Films (Non-English),7,1880000,2,love of my loves,movie,"Days before her wedding, a woman believes she's falling in love with a stranger who is also headed for the altar, and their lives change dramatically",2014,N/A,95 min,Comedy,Mexico,tt3344928,6.2,955
